record_id,source_dataset,field,matched_categories,matched_spans
sif_guard_seed__OIL-00016,sif_guard_seed,potential_consequence,electrocution_or_electrical_shock|struck_by_object,'shock'|'hit by'
sif_guard_seed__OIL-00112,sif_guard_seed,potential_consequence,struck_by_object|chemical_exposure_or_burn,'hit by'|'spill'
sif_guard_seed__OIL-00113,sif_guard_seed,potential_consequence,struck_by_object|chemical_exposure_or_burn,'struck by'|'spill'
sif_guard_seed__OIL-00428,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-00532,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-00537,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00581,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00597,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00618,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00683,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00743,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00805,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00819,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00843,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-00881,sif_guard_seed,unsafe_act,bypassed_safety_control|worked_without_isolation,'bypassed'|'bypassed the LOTO'
sif_guard_seed__OIL-00920,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00936,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00980,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
sif_guard_seed__OIL-00981,sif_guard_seed,barrier,Fire extinguishing equipment on site|Signage,'Fire extinguisher'|'signage'
