model_id,model_name,threshold,precision,recall,f1,tp,fp,tn,fn
minilm,sentence-transformers/all-MiniLM-L6-v2,0.05,0.3467,1.0,0.5149,69,130,0,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.06,0.3467,1.0,0.5149,69,130,0,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.07,0.3467,1.0,0.5149,69,130,0,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.08,0.3467,1.0,0.5149,69,130,0,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.09,0.3485,1.0,0.5169,69,129,1,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.1,0.3485,1.0,0.5169,69,129,1,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.11,0.3503,1.0,0.5188,69,128,2,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.12,0.3503,1.0,0.5188,69,128,2,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.13,0.352,1.0,0.5208,69,127,3,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.14,0.352,1.0,0.5208,69,127,3,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.15,0.3538,1.0,0.5227,69,126,4,0
minilm,sentence-transformers/all-MiniLM-L6-v2,0.16,0.3505,0.9855,0.5171,68,126,4,1
minilm,sentence-transformers/all-MiniLM-L6-v2,0.17,0.349,0.971,0.5134,67,125,5,2
minilm,sentence-transformers/all-MiniLM-L6-v2,0.18,0.349,0.971,0.5134,67,125,5,2
minilm,sentence-transformers/all-MiniLM-L6-v2,0.19,0.3508,0.971,0.5154,67,124,6,2
minilm,sentence-transformers/all-MiniLM-L6-v2,0.2,0.3508,0.971,0.5154,67,124,6,2
minilm,sentence-transformers/all-MiniLM-L6-v2,0.21,0.3564,0.971,0.5214,67,121,9,2
minilm,sentence-transformers/all-MiniLM-L6-v2,0.22,0.3564,0.971,0.5214,67,121,9,2
minilm,sentence-transformers/all-MiniLM-L6-v2,0.23,0.3564,0.971,0.5214,67,121,9,2
minilm,sentence-transformers/all-MiniLM-L6-v2,0.24,0.3529,0.9565,0.5156,66,121,9,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.25,0.3646,0.9565,0.528,66,115,15,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.26,0.3667,0.9565,0.5301,66,114,16,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.27,0.3667,0.9565,0.5301,66,114,16,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.28,0.3708,0.9565,0.5344,66,112,18,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.29,0.3708,0.9565,0.5344,66,112,18,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.3,0.3729,0.9565,0.5366,66,111,19,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.31,0.3771,0.9565,0.541,66,109,21,3
minilm,sentence-transformers/all-MiniLM-L6-v2,0.32,0.3757,0.942,0.5372,65,108,22,4
minilm,sentence-transformers/all-MiniLM-L6-v2,0.33,0.3779,0.942,0.5394,65,107,23,4
minilm,sentence-transformers/all-MiniLM-L6-v2,0.34,0.3779,0.942,0.5394,65,107,23,4
minilm,sentence-transformers/all-MiniLM-L6-v2,0.35,0.3801,0.942,0.5417,65,106,24,4
minilm,sentence-transformers/all-MiniLM-L6-v2,0.36,0.3787,0.9275,0.5378,64,105,25,5
minilm,sentence-transformers/all-MiniLM-L6-v2,0.37,0.3772,0.913,0.5339,63,104,26,6
minilm,sentence-transformers/all-MiniLM-L6-v2,0.38,0.3818,0.913,0.5385,63,102,28,6
minilm,sentence-transformers/all-MiniLM-L6-v2,0.39,0.3841,0.913,0.5408,63,101,29,6
minilm,sentence-transformers/all-MiniLM-L6-v2,0.4,0.3889,0.913,0.5455,63,99,31,6
minilm,sentence-transformers/all-MiniLM-L6-v2,0.41,0.3889,0.913,0.5455,63,99,31,6
minilm,sentence-transformers/all-MiniLM-L6-v2,0.42,0.3889,0.913,0.5455,63,99,31,6
minilm,sentence-transformers/all-MiniLM-L6-v2,0.43,0.3899,0.8986,0.5439,62,97,33,7
minilm,sentence-transformers/all-MiniLM-L6-v2,0.44,0.3924,0.8986,0.5463,62,96,34,7
minilm,sentence-transformers/all-MiniLM-L6-v2,0.45,0.3885,0.8841,0.5398,61,96,34,8
minilm,sentence-transformers/all-MiniLM-L6-v2,0.46,0.391,0.8841,0.5422,61,95,35,8
minilm,sentence-transformers/all-MiniLM-L6-v2,0.47,0.3935,0.8841,0.5446,61,94,36,8
minilm,sentence-transformers/all-MiniLM-L6-v2,0.48,0.404,0.8841,0.5545,61,90,40,8
minilm,sentence-transformers/all-MiniLM-L6-v2,0.49,0.3986,0.8551,0.5438,59,89,41,10
minilm,sentence-transformers/all-MiniLM-L6-v2,0.5,0.4041,0.8551,0.5488,59,87,43,10
minilm,sentence-transformers/all-MiniLM-L6-v2,0.51,0.4214,0.8551,0.5646,59,81,49,10
minilm,sentence-transformers/all-MiniLM-L6-v2,0.52,0.4265,0.8406,0.5659,58,78,52,11
minilm,sentence-transformers/all-MiniLM-L6-v2,0.53,0.4296,0.8406,0.5686,58,77,53,11
minilm,sentence-transformers/all-MiniLM-L6-v2,0.54,0.4427,0.8406,0.58,58,73,57,11
minilm,sentence-transformers/all-MiniLM-L6-v2,0.55,0.4496,0.8406,0.5859,58,71,59,11
minilm,sentence-transformers/all-MiniLM-L6-v2,0.56,0.456,0.8261,0.5876,57,68,62,12
minilm,sentence-transformers/all-MiniLM-L6-v2,0.57,0.459,0.8116,0.5864,56,66,64,13
minilm,sentence-transformers/all-MiniLM-L6-v2,0.58,0.45,0.7826,0.5714,54,66,64,15
minilm,sentence-transformers/all-MiniLM-L6-v2,0.59,0.4538,0.7826,0.5745,54,65,65,15
minilm,sentence-transformers/all-MiniLM-L6-v2,0.6,0.4569,0.7681,0.573,53,63,67,16
minilm,sentence-transformers/all-MiniLM-L6-v2,0.61,0.4522,0.7536,0.5652,52,63,67,17
minilm,sentence-transformers/all-MiniLM-L6-v2,0.62,0.4602,0.7536,0.5714,52,61,69,17
minilm,sentence-transformers/all-MiniLM-L6-v2,0.63,0.4587,0.7246,0.5618,50,59,71,19
minilm,sentence-transformers/all-MiniLM-L6-v2,0.64,0.463,0.7246,0.565,50,58,72,19
minilm,sentence-transformers/all-MiniLM-L6-v2,0.65,0.4762,0.7246,0.5747,50,55,75,19
minilm,sentence-transformers/all-MiniLM-L6-v2,0.66,0.4706,0.6957,0.5614,48,54,76,21
minilm,sentence-transformers/all-MiniLM-L6-v2,0.67,0.4646,0.6667,0.5476,46,53,77,23
minilm,sentence-transformers/all-MiniLM-L6-v2,0.68,0.4792,0.6667,0.5576,46,50,80,23
minilm,sentence-transformers/all-MiniLM-L6-v2,0.69,0.4787,0.6522,0.5521,45,49,81,24
